#EC;PRODUTO;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ
"1001796389";"10";"FATOR_1";"2.99";"SEM VALOR";"1001796389"
"1001796389";"10";"FATOR_2";"0.00";"SEM VALOR";"1001796389"
"1001796389";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001796389"
"1001796389";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1001796389"
"1001796389";"20";"FATOR_1";"2.99";"SEM VALOR";"1001796389"
"1001796389";"20";"FATOR_2";"0.00";"SEM VALOR";"1001796389"
"1001796389";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001796389"
"1001796389";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1001796389"
"1001796389";"40";"FATOR_1";"2.99";"SEM VALOR";"1001796389"
"1001796389";"40";"FATOR_2";"0.00";"SEM VALOR";"1001796389"
"1001796389";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001796389"
"1001796389";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1001796389"
"1001886647";"10";"FATOR_1";"1.99";"SEM VALOR";"1001886647"
"1001886647";"10";"FATOR_2";"0.00";"SEM VALOR";"1001886647"
"1001886647";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001886647"
"1001886647";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1001886647"
"1001886647";"20";"FATOR_1";"1.99";"SEM VALOR";"1001886647"
"1001886647";"20";"FATOR_2";"0.00";"SEM VALOR";"1001886647"
"1001886647";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001886647"
"1001886647";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1001886647"
"1001886647";"40";"FATOR_1";"1.99";"SEM VALOR";"1001886647"
"1001886647";"40";"FATOR_2";"0.00";"SEM VALOR";"1001886647"
"1001886647";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001886647"
"1001886647";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1001886647"
"1001906532";"10";"FATOR_2";"SEM VALOR";"0.00";"1001906532"
"1001906532";"10";"STATUS_SERVICO";"N";"S";"1001906532"
"1002146477";"10";"FATOR_1";"2.99";"SEM VALOR";"1002146477"
"1002146477";"10";"FATOR_2";"0.00";"SEM VALOR";"1002146477"
"1002146477";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002146477"
"1002146477";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002146477"
"1002146477";"20";"FATOR_1";"2.99";"SEM VALOR";"1002146477"
"1002146477";"20";"FATOR_2";"0.00";"SEM VALOR";"1002146477"
"1002146477";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002146477"
"1002146477";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002146477"
"1002146477";"40";"FATOR_1";"2.99";"SEM VALOR";"1002146477"
"1002146477";"40";"FATOR_2";"0.00";"SEM VALOR";"1002146477"
"1002146477";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002146477"
"1002146477";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002146477"
"1002458487";"10";"FATOR_1";"3.99";"3.88";"1002458487"
"1002458487";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"2";"1002458487"
"1002458487";"20";"FATOR_1";"3.99";"3.88";"1002458487"
"1002458487";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"2";"1002458487"
"1002458487";"40";"FATOR_1";"3.99";"3.88";"1002458487"
"1002458487";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"2";"1002458487"
"1002482450";"10";"FATOR_1";"2.99";"SEM VALOR";"1002482450"
"1002482450";"10";"FATOR_2";"0.00";"SEM VALOR";"1002482450"
"1002482450";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002482450"
"1002482450";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002482450"
"1002482450";"20";"FATOR_1";"2.99";"SEM VALOR";"1002482450"
"1002482450";"20";"FATOR_2";"0.00";"SEM VALOR";"1002482450"
"1002482450";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002482450"
"1002482450";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002482450"
"1002482450";"40";"FATOR_1";"2.99";"SEM VALOR";"1002482450"
"1002482450";"40";"FATOR_2";"0.00";"SEM VALOR";"1002482450"
"1002482450";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002482450"
"1002482450";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002482450"
"1002511663";"10";"FATOR_1";"3.73";"SEM VALOR";"1002511663"
"1002511663";"10";"FATOR_2";"0.00";"SEM VALOR";"1002511663"
